type,full,abbr,wrong_vis,regex_vis
abb_us,Day14,D14,d_14,d\_14(?![:digit:])
s_nosp,Day15,D15,d15,d15(?![:digit:])
s_sp,Day15,D15,d 15,d\s15(?![:digit:])
s_us,Day15,D15,d_15,d\_15(?![:digit:])
f_nosp,Day15,D15,day15,day15(?![:digit:])
f_sp,Day15,D15,day 15,day\s15(?![:digit:])
f_us,Day15,D15,day_15,day\_15(?![:digit:])
abb_nosp,Day15,D15,d15,d15(?![:digit:])
abb_sp,Day15,D15,d 15,d\s15(?![:digit:])
abb_us,Day15,D15,d_15,d\_15(?![:digit:])
s_nosp,Day16,D16,d16,d16(?![:digit:])
s_sp,Day16,D16,d 16,d\s16(?![:digit:])
s_us,Day16,D16,d_16,d\_16(?![:digit:])
f_nosp,Day16,D16,day16,day16(?![:digit:])
f_sp,Day16,D16,day 16,day\s16(?![:digit:])
f_us,Day16,D16,day_16,day\_16(?![:digit:])
abb_nosp,Day16,D16,d16,d16(?![:digit:])
abb_sp,Day16,D16,d 16,d\s16(?![:digit:])
abb_us,Day16,D16,d_16,d\_16(?![:digit:])
s_nosp,Day17,D17,d17,d17(?![:digit:])
s_sp,Day17,D17,d 17,d\s17(?![:digit:])
s_us,Day17,D17,d_17,d\_17(?![:digit:])
f_nosp,Day17,D17,day17,day17(?![:digit:])
f_sp,Day17,D17,day 17,day\s17(?![:digit:])
f_us,Day17,D17,day_17,day\_17(?![:digit:])
abb_nosp,Day17,D17,d17,d17(?![:digit:])
abb_sp,Day17,D17,d 17,d\s17(?![:digit:])
abb_us,Day17,D17,d_17,d\_17(?![:digit:])
s_nosp,Day18,D18,d18,d18(?![:digit:])
s_sp,Day18,D18,d 18,d\s18(?![:digit:])
s_us,Day18,D18,d_18,d\_18(?![:digit:])
f_nosp,Day18,D18,day18,day18(?![:digit:])
f_sp,Day18,D18,day 18,day\s18(?![:digit:])
f_us,Day18,D18,day_18,day\_18(?![:digit:])
abb_nosp,Day18,D18,d18,d18(?![:digit:])
abb_sp,Day18,D18,d 18,d\s18(?![:digit:])
abb_us,Day18,D18,d_18,d\_18(?![:digit:])
s_nosp,Day19,D19,d19,d19(?![:digit:])
s_sp,Day19,D19,d 19,d\s19(?![:digit:])
s_us,Day19,D19,d_19,d\_19(?![:digit:])
f_nosp,Day19,D19,day19,day19(?![:digit:])
f_sp,Day19,D19,day 19,day\s19(?![:digit:])
f_us,Day19,D19,day_19,day\_19(?![:digit:])
abb_nosp,Day19,D19,d19,d19(?![:digit:])
abb_sp,Day19,D19,d 19,d\s19(?![:digit:])
abb_us,Day19,D19,d_19,d\_19(?![:digit:])
s_nosp,Day20,D20,d20,d20(?![:digit:])
s_sp,Day20,D20,d 20,d\s20(?![:digit:])
s_us,Day20,D20,d_20,d\_20(?![:digit:])
f_nosp,Day20,D20,day20,day20(?![:digit:])
f_sp,Day20,D20,day 20,day\s20(?![:digit:])
f_us,Day20,D20,day_20,day\_20(?![:digit:])
abb_nosp,Day20,D20,d20,d20(?![:digit:])
abb_sp,Day20,D20,d 20,d\s20(?![:digit:])
abb_us,Day20,D20,d_20,d\_20(?![:digit:])
s_nosp,Day21,D21,d21,d21(?![:digit:])
s_sp,Day21,D21,d 21,d\s21(?![:digit:])
s_us,Day21,D21,d_21,d\_21(?![:digit:])
f_nosp,Day21,D21,day21,day21(?![:digit:])
f_sp,Day21,D21,day 21,day\s21(?![:digit:])
f_us,Day21,D21,day_21,day\_21(?![:digit:])
abb_nosp,Day21,D21,d21,d21(?![:digit:])
abb_sp,Day21,D21,d 21,d\s21(?![:digit:])
abb_us,Day21,D21,d_21,d\_21(?![:digit:])
s_nosp,Day22,D22,d22,d22(?![:digit:])
s_sp,Day22,D22,d 22,d\s22(?![:digit:])
s_us,Day22,D22,d_22,d\_22(?![:digit:])
f_nosp,Day22,D22,day22,day22(?![:digit:])
f_sp,Day22,D22,day 22,day\s22(?![:digit:])
f_us,Day22,D22,day_22,day\_22(?![:digit:])
abb_nosp,Day22,D22,d22,d22(?![:digit:])
abb_sp,Day22,D22,d 22,d\s22(?![:digit:])
abb_us,Day22,D22,d_22,d\_22(?![:digit:])
s_nosp,Day23,D23,d23,d23(?![:digit:])
s_sp,Day23,D23,d 23,d\s23(?![:digit:])
s_us,Day23,D23,d_23,d\_23(?![:digit:])
f_nosp,Day23,D23,day23,day23(?![:digit:])
f_sp,Day23,D23,day 23,day\s23(?![:digit:])
f_us,Day23,D23,day_23,day\_23(?![:digit:])
abb_nosp,Day23,D23,d23,d23(?![:digit:])
abb_sp,Day23,D23,d 23,d\s23(?![:digit:])
abb_us,Day23,D23,d_23,d\_23(?![:digit:])
s_nosp,Day24,D24,d24,d24(?![:digit:])
s_sp,Day24,D24,d 24,d\s24(?![:digit:])
s_us,Day24,D24,d_24,d\_24(?![:digit:])
f_nosp,Day24,D24,day24,day24(?![:digit:])
f_sp,Day24,D24,day 24,day\s24(?![:digit:])
f_us,Day24,D24,day_24,day\_24(?![:digit:])
abb_nosp,Day24,D24,d24,d24(?![:digit:])
abb_sp,Day24,D24,d 24,d\s24(?![:digit:])
abb_us,Day24,D24,d_24,d\_24(?![:digit:])
s_nosp,Day25,D25,d25,d25(?![:digit:])
s_sp,Day25,D25,d 25,d\s25(?![:digit:])
s_us,Day25,D25,d_25,d\_25(?![:digit:])
f_nosp,Day25,D25,day25,day25(?![:digit:])
f_sp,Day25,D25,day 25,day\s25(?![:digit:])
f_us,Day25,D25,day_25,day\_25(?![:digit:])
abb_nosp,Day25,D25,d25,d25(?![:digit:])
abb_sp,Day25,D25,d 25,d\s25(?![:digit:])
abb_us,Day25,D25,d_25,d\_25(?![:digit:])
s_nosp,Day26,D26,d26,d26(?![:digit:])
s_sp,Day26,D26,d 26,d\s26(?![:digit:])
s_us,Day26,D26,d_26,d\_26(?![:digit:])
f_nosp,Day26,D26,day26,day26(?![:digit:])
f_sp,Day26,D26,day 26,day\s26(?![:digit:])
f_us,Day26,D26,day_26,day\_26(?![:digit:])
abb_nosp,Day26,D26,d26,d26(?![:digit:])
abb_sp,Day26,D26,d 26,d\s26(?![:digit:])
abb_us,Day26,D26,d_26,d\_26(?![:digit:])
s_nosp,Day27,D27,d27,d27(?![:digit:])
s_sp,Day27,D27,d 27,d\s27(?![:digit:])
s_us,Day27,D27,d_27,d\_27(?![:digit:])
f_nosp,Day27,D27,day27,day27(?![:digit:])
f_sp,Day27,D27,day 27,day\s27(?![:digit:])
f_us,Day27,D27,day_27,day\_27(?![:digit:])
abb_nosp,Day27,D27,d27,d27(?![:digit:])
abb_sp,Day27,D27,d 27,d\s27(?![:digit:])
abb_us,Day27,D27,d_27,d\_27(?![:digit:])
s_nosp,Day28,D28,d28,d28(?![:digit:])
s_sp,Day28,D28,d 28,d\s28(?![:digit:])
s_us,Day28,D28,d_28,d\_28(?![:digit:])
f_nosp,Day28,D28,day28,day28(?![:digit:])
f_sp,Day28,D28,day 28,day\s28(?![:digit:])
f_us,Day28,D28,day_28,day\_28(?![:digit:])
abb_nosp,Day28,D28,d28,d28(?![:digit:])
abb_sp,Day28,D28,d 28,d\s28(?![:digit:])
abb_us,Day28,D28,d_28,d\_28(?![:digit:])
s_nosp,Day29,D29,d29,d29(?![:digit:])
s_sp,Day29,D29,d 29,d\s29(?![:digit:])
s_us,Day29,D29,d_29,d\_29(?![:digit:])
f_nosp,Day29,D29,day29,day29(?![:digit:])
f_sp,Day29,D29,day 29,day\s29(?![:digit:])
f_us,Day29,D29,day_29,day\_29(?![:digit:])
abb_nosp,Day29,D29,d29,d29(?![:digit:])
abb_sp,Day29,D29,d 29,d\s29(?![:digit:])
abb_us,Day29,D29,d_29,d\_29(?![:digit:])
s_nosp,Day30,D30,d30,d30(?![:digit:])
s_sp,Day30,D30,d 30,d\s30(?![:digit:])
s_us,Day30,D30,d_30,d\_30(?![:digit:])
f_nosp,Day30,D30,day30,day30(?![:digit:])
f_sp,Day30,D30,day 30,day\s30(?![:digit:])
f_us,Day30,D30,day_30,day\_30(?![:digit:])
abb_nosp,Day30,D30,d30,d30(?![:digit:])
abb_sp,Day30,D30,d 30,d\s30(?![:digit:])
abb_us,Day30,D30,d_30,d\_30(?![:digit:])
s_nosp,Day31,D31,d31,d31(?![:digit:])
s_sp,Day31,D31,d 31,d\s31(?![:digit:])
s_us,Day31,D31,d_31,d\_31(?![:digit:])
f_nosp,Day31,D31,day31,day31(?![:digit:])
f_sp,Day31,D31,day 31,day\s31(?![:digit:])
f_us,Day31,D31,day_31,day\_31(?![:digit:])
abb_nosp,Day31,D31,d31,d31(?![:digit:])
abb_sp,Day31,D31,d 31,d\s31(?![:digit:])
abb_us,Day31,D31,d_31,d\_31(?![:digit:])
s_nosp,Day32,D32,d32,d32(?![:digit:])
s_sp,Day32,D32,d 32,d\s32(?![:digit:])
s_us,Day32,D32,d_32,d\_32(?![:digit:])
f_nosp,Day32,D32,day32,day32(?![:digit:])
f_sp,Day32,D32,day 32,day\s32(?![:digit:])
f_us,Day32,D32,day_32,day\_32(?![:digit:])
abb_nosp,Day32,D32,d32,d32(?![:digit:])
abb_sp,Day32,D32,d 32,d\s32(?![:digit:])
abb_us,Day32,D32,d_32,d\_32(?![:digit:])
s_nosp,Day33,D33,d33,d33(?![:digit:])
s_sp,Day33,D33,d 33,d\s33(?![:digit:])
s_us,Day33,D33,d_33,d\_33(?![:digit:])
f_nosp,Day33,D33,day33,day33(?![:digit:])
f_sp,Day33,D33,day 33,day\s33(?![:digit:])
f_us,Day33,D33,day_33,day\_33(?![:digit:])
abb_nosp,Day33,D33,d33,d33(?![:digit:])
abb_sp,Day33,D33,d 33,d\s33(?![:digit:])
abb_us,Day33,D33,d_33,d\_33(?![:digit:])
